"Title","Tomatometer","Fresh","Audience.score","Rating","Parental.Control","Genre1","Genre2","Genre3","Director","Production","DirectorIsWriter","Runtime","Release.Date","Release.Year","Release.Season","Release.isWide"
"Inconceivable",31,"No",62,"R","No","mysteryandthriller","drama",NA,"JonathanBaker","Emmett/FurlaFilms","No",105,2017-06-30,"2017","summer","No"
"Kill Switch",9,"No",20,"R","No","scifi","action",NA,"TimSmit","SquareOneEntertainment,CTMProductionsBV,RainMakerFilms,FilmNationEntertainment","No",91,2017-06-16,"2017","spring","No"
"Batman And Harley Quinn",45,"No",38,"PG-13","No","adventure","action","animation","SamLiu","DCEntertainment,WarnerBros.Animation","No",76,2017-07-10,"2017","summer",""
"Hickok",57,"No",18,"G","Yes","action","western",NA,"TimothyWoodwardJr.","StatusMedia&Entertainment,Cinedigm","No",88,2017-07-07,"2017","summer","No"
"Blind",19,"No",42,"R","No","drama","romance",NA,"MichaelMailer","MichaelMailerFilms","No",106,2017-07-14,"2017","summer","No"
"The Ice Cream Truck",72,"Yes",36,"G","Yes","horror","mysteryandthriller","comedy","MeganFreelsJohnston","LookAtMeFilms","Yes",96,2017-08-18,"2017","summer","No"
"Unleashed",75,"Yes",72,"G","Yes","fantasy","romance",NA,"FinnTaylor","BraveartFilms","Yes",96,2017-08-25,"2017","summer","No"
"What Happened To Monday",58,"No",67,"G","Yes","scifi","action",NA,"TommyWirkola","RaffaellaDeLaurentiis,FabriceGianfermi,PhilippeRousselet","No",123,2019-02-08,"2019","winter",""
"The Monster Project",50,"No",45,"G","Yes","horror","mysteryandthriller",NA,"VictorMathieu","MichaelBurkenbine,VictorMathieu,PhillipSebal","No",95,2017-08-18,"2017","summer","No"
"Descendants 2",71,"Yes",70,"TVG","No","action","comedy","fantasy","KennyOrtega","DisneyChannel,BadAngelsProductions,5678Productions","No",111,2017-07-23,"2017","summer",""
"Little Evil",92,"Yes",47,"TVMA","No","horror","comedy",NA,"EliCraig","JasonMichaelBerman,NicholasDavidNesbitt","Yes",94,2017-09-01,"2017","summer",""
"The Breaking Point",100,"Yes",86,"G","Yes","drama",NA,NA,"MichaelCurtiz","WarnerBrothers/SevenArts",NA,97,2016-08-25,"2016","summer",""
"Arctic Tale",61,"Yes",61,"G","Yes","documentary",NA,NA,"AdamRavetch,SarahRobertson","NationalGeographicSociety",NA,96,2007-08-17,"2007","summer","Yes"
"The Sea",52,"No",39,"G","Yes","drama",NA,NA,"StephenBrown","SamsonFilms","No",86,2017-07-07,"2017","summer",""
"Notes On Blindness",95,"Yes",70,"G","Yes","documentary",NA,NA,"PeterMiddleton,JamesSpinney","MikeBrett,SteveJamison,Jo-JoEllison,AlexUsborne",NA,90,2016-11-16,"2016","autumn","No"
"Sin Alas",64,"Yes",100,"G","Yes","drama",NA,NA,"BenChace","SeanT.Lamb","Yes",90,2017-01-25,"2017","winter",""
"Colossal",81,"Yes",59,"R","No","fantasy","comedy",NA,"NachoVigalondo","BrightlightPictures","Yes",110,2017-04-07,"2017","spring","No"
"Snatched",36,"No",29,"R","No","action","adventure","comedy","JonathanLevine","CherninEntertainment,FeigcoEntertainment","No",90,2017-05-12,"2017","spring","Yes"
"The Legend Of Ben Hall",50,"No",76,"G","Yes","action","history","western","MatthewHolmes","TheLegendofBenHallMovie",NA,139,2017-08-01,"2017","summer",""
"The Dinner",46,"No",16,"R","No","mysteryandthriller","drama",NA,"OrenMoverman","ChubbCoFilmCo.,Blackbird,CodeRed","Yes",122,2017-05-05,"2017","spring","Yes"
"Sleight",78,"Yes",52,"R","No","mysteryandthriller","drama",NA,"J.D.Dillard","DiabloEntertainment","No",90,2017-04-28,"2017","spring","Yes"
"Wolves",33,"No",45,"R","No","drama",NA,NA,"BartFreundlich","ProcessMedia","Yes",110,2017-03-03,"2017","winter","No"
"11:55",100,"Yes",79,"G","Yes","crime","drama",NA,"AriIssler,BenSnyder","WashingstonSquareFilms","No",80,2017-06-09,"2017","spring","No"
"King Arthur: Legend Of The Sword",30,"No",69,"PG-13","No","action","adventure","fantasy","GuyRitchie","WeedRoad,Ritchie/Wigram,SafehousePictures","No",126,2017-05-12,"2017","spring","Yes"
"Diary Of A Wimpy Kid: The Long Haul",18,"No",32,"PG","No","adventure","kidsandfamily","comedy","DavidBowers","ColorForce","No",91,2017-05-19,"2017","spring","Yes"
"The Exception (The Kaiser's Last Kiss)",73,"Yes",67,"R","No","history","drama","war","DavidLeveaux","OstarProductions","No",107,2017-05-30,"2017","spring","No"
"Brave New Jersey",47,"No",37,"G","Yes","comedy",NA,NA,"JodyLambert","GravitasVentures","No",91,2017-08-04,"2017","summer","No"
"The Drowning",50,"No",15,"G","Yes","drama","mysteryandthriller",NA,"BetteGordon","TheFilmCommunity","No",95,2017-05-10,"2017","spring","No"
"The Ottoman Lieutenant",19,"No",51,"R","No","history","drama","war","JosephRuben","YProduction,EasternSunriseFilms","No",110,2017-03-10,"2017","winter","No"
"Fun Mom Dinner",32,"No",35,"R","No","comedy",NA,NA,"AletheaJones","VoltagePictures,JunePictures,Gettin'Rad","No",81,2017-08-04,"2017","summer","No"
"Icarus",94,"Yes",94,"G","Yes","documentary",NA,NA,"BryanFogel","JimSwartz,DanCogan,DavidFialkow,BryanFogel",NA,110,2017-08-04,"2017","summer",""
"It's Not Yet Dark",95,"Yes",62,"G","Yes","documentary",NA,NA,"FrankieFenton","NewgrangePictures",NA,77,2017-08-04,"2017","summer","No"
"Some Freaks",92,"Yes",71,"G","Yes","drama","comedy","romance","IanMacAllisterMcDonald","GoodDeedEntertainment","Yes",97,2017-08-04,"2017","summer","No"
"Phoenix Forgotten",44,"No",40,"PG-13","No","scifi","mysteryandthriller","horror","JustinBarber","CinelouFilms,ScottFreeProductions","No",87,2017-04-21,"2017","spring","Yes"
"The Hunter's Prayer",33,"No",23,"R","No","action","mysteryandthriller",NA,"JonathanMostow","ApolloMedia,FilmEngine,ElipsisCapital","No",91,2017-06-09,"2017","spring","No"
"The Hippopotamus",57,"No",50,"G","Yes","comedy",NA,NA,"JohnJencks","AlexaSeligman,JayTaylor","No",89,2017-06-15,"2017","spring","No"
"Naked",0,"No",31,"G","Yes","comedy",NA,NA,"MikeTiddes","RickAlvarez,ToddGarner,RyanLewis,MarlonWayans","No",96,2017-08-13,"2017","summer",""
"Good Fortune",78,"Yes",96,"PG","No","documentary",NA,NA,"JoshTickell,RebeccaHarrellTickell","GreenPlanetProductions",NA,86,2017-06-22,"2017","spring","No"
"Chronically Metropolitan",40,"No",38,"G","Yes","drama","comedy",NA,"XavierManrique","TheFilmCommunity,PlaneoFilms,ChronNY,Inc.","No",90,2017-08-04,"2017","summer",""
"Armed Response",0,"No",18,"R","No","horror","action","mysteryandthriller","JohnStockwell","WWEStudios,SabanFilms,ErebusPictures","No",93,2017-07-09,"2017","summer",""
"Cut Shoot Kill",71,"Yes",50,"G","Yes","horror","action","mysteryandthriller","MichaelWalker","AlfredSapse","Yes",97,2017-08-08,"2017","summer",""
"The Boss Baby",53,"No",51,"PG","No","adventure","kidsandfamily","animation","TomMcGrath","DreamWorksAnimation","No",97,2017-03-31,"2017","spring","Yes"
"Violet",84,"Yes",56,"G","Yes","drama",NA,NA,"BasDevos",NA,"Yes",82,2017-05-12,"2017","spring","No"
"Kong: Skull Island",75,"Yes",69,"PG-13","No","action","adventure","scifi","JordanVogt-Roberts","LegendaryPictures,TencentPictures","No",118,2017-03-10,"2017","winter","Yes"
"Ghost In The Shell",43,"No",51,"PG-13","No","scifi","action","adventure","RupertSanders","ParamountPictures,RelianceEntertainment,CrystalSkyEntertainment","No",107,2017-03-31,"2017","spring","Yes"
"The Fate Of The Furious",67,"Yes",72,"PG-13","No","adventure","action","mysteryandthriller","F.GaryGray","OriginalFilm,OneRaceFilms","No",136,2017-04-14,"2017","spring","Yes"
"Spark: A Space Tail",14,"No",35,"PG","No","action","animation","comedy","AaronWoodley","RedroverCo.Ltd.,GulfstreamPictures,ToonBoxEntertainment","Yes",90,2017-04-14,"2017","spring","No"
"Gifted",73,"Yes",85,"PG-13","No","drama",NA,NA,"MarcWebb","FilmNation,GradeAEntertainment","No",101,2017-04-12,"2017","spring","Yes"
"Buster's Mal Heart",70,"Yes",56,"G","Yes","mysteryandthriller","drama",NA,"SarahAdinaSmith","SnowfortPictures,EverythingIsEverything","Yes",98,2017-04-28,"2017","spring","No"
"Free Fire",69,"Yes",52,"R","No","action","comedy",NA,"BenWheatley","RookFilms","No",86,2017-04-21,"2017","spring","Yes"
"A Quiet Passion",91,"Yes",48,"PG-13","No","biography","history","drama","TerenceDavies","HurricaneFilms,ScopePictures,Potemkino","Yes",125,2017-04-14,"2017","spring","No"
"Unforgettable",28,"No",33,"R","No","mysteryandthriller",NA,NA,"DeniseDiNovi","WarnerBros.Pictures","No",100,2017-04-21,"2017","spring","Yes"
"American Fable",75,"Yes",40,"G","Yes","mysteryandthriller","drama",NA,"AnneHamilton","AnneHamilton,KishoriRajan","Yes",96,2017-02-17,"2017","winter","No"
"The Lost City Of Z",87,"Yes",57,"PG-13","No","biography","adventure","drama","JamesGray","PlanBEntertainment,MadRiverPictures,MICAEntertainment","Yes",141,2017-04-21,"2017","spring","Yes"
"The Final Master",65,"Yes",61,"G","Yes","sportsandfitness","action","drama","XuHaofeng","BeijingCenturyPartnerCulture&MediaInc.,MaglimPictures,HeyiPictures","Yes",109,2016-06-03,"2016","spring","No"
"Tommy's Honour",67,"Yes",68,"PG","No","biography","history","drama","JasonConnery","GuttaPerchaProductions","No",112,2017-04-14,"2017","spring","No"
"Seoul Station",100,"Yes",37,"G","Yes","horror","animation",NA,"Sang-hoYeon","Finecut,StudioDadashow","Yes",92,2017-06-01,"2017","spring",""
"Message From The King",45,"No",50,"R","No","action","mysteryandthriller",NA,"FabriceduWelz","EntertainmentOne,InkFactory,EntreChienetLoup","No",102,2017-08-04,"2017","summer",""
"The Promise",51,"No",92,"PG-13","No","history","drama","romance","TerryGeorge","SurvivalPictures","No",134,2017-04-21,"2017","spring","Yes"
"House On Willow Street",55,"No",80,"G","Yes","horror",NA,NA,"AlastairOrr","FatCigarProductions,TheDarkside","No",90,2017-03-24,"2017","spring","No"
"The Incredible Jessica James",88,"Yes",65,"G","Yes","comedy",NA,NA,"JamesC.Strouse","MichaelB.Clark,AlexTurtletaub","Yes",85,2017-07-29,"2017","summer",""
"Black Butterfly",40,"No",41,"R","No","mysteryandthriller",NA,NA,"BrianGoodman","ParadoxStudios,AmbiPictures,NotoriousPictures,BattleplanProductions","No",93,2017-05-26,"2017","spring","No"
"To The Bone",72,"Yes",64,"G","Yes","drama","comedy",NA,"MartiNoxon","MockingbirdPictures","Yes",107,2017-07-15,"2017","summer",""
"Chasing Coral",100,"Yes",89,"G","Yes","documentary",NA,NA,"JeffOrlowski","JeffOrlowski,LarissaRhodes",NA,93,2017-07-15,"2017","summer",""
"Killing Ground",75,"Yes",45,"G","Yes","horror","mysteryandthriller",NA,"DamienPower","ArcadiaProductions","Yes",88,2017-07-21,"2017","summer","No"
"Resident Evil: Vendetta",43,"No",47,"R","No","horror","action","animation","TakanoriTsujimoto","Capcom","No",97,2017-06-19,"2017","spring","No"
"First Kill",15,"No",24,"R","No","action","crime","mysteryandthriller","StevenC.Miller","HighlandFilmGroup,BrookstreetPictures","No",97,2017-07-21,"2017","summer","No"
"The Gracefield Incident",10,"No",16,"PG-13","No","horror","mysteryandthriller","scifi","MathieuRatthe","MathieuRatthe","Yes",89,2017-07-21,"2017","summer","No"
"The Savage Innocents",69,"Yes",74,"G","Yes","adventure",NA,NA,"NicholasRay",NA,NA,110,2017-02-11,"2017","winter",""
"Smurfs: The Lost Village",40,"No",54,"PG","No","animation","comedy","fantasy","KellyAsbury","KernerEntertainment","No",91,2017-04-07,"2017","spring","Yes"
"Absolutely Anything",18,"No",31,"R","No","scifi","comedy",NA,"TerryJones","MediaProTwo,MediaProFour,BillandBenProductions,PremierePicture,GFMfilms,MediaProOne","No",85,2017-05-12,"2017","spring","No"
"Saban's Power Rangers",49,"No",65,"PG-13","No","adventure","action","scifi","DeanIsraelite","SabanBrands,TempleHillEntertainment","No",124,2017-03-24,"2017","spring","Yes"
"Dying To Know: Ram Dass & Timothy Leary",78,"Yes",83,"G","Yes","history","drama","documentary","GayDillingham","TaoRuspoli,GayDillingham",NA,99,2017-06-01,"2017","spring",""
"Admiral (Michiel De Ruyter)",67,"Yes",81,"G","Yes","biography","history","drama","RoelReiné","AVROTROS,FarmhouseFilm&TV","No",122,2016-03-11,"2016","winter","No"
"Song To Song",44,"No",36,"R","No","music","drama","romance","TerrenceMalick","WaypointEntertainment,BroadGreenPictures","Yes",129,2017-03-17,"2017","winter","No"
"Okja",86,"Yes",81,"G","Yes","mysteryandthriller","scifi","drama","Joon-hoBong","KateStreetPictureCompany,PlanBEntertainment,LewisPictures,Netflix","No",118,2017-06-28,"2017","summer","No"
"Wilson",47,"No",30,"R","No","comedy",NA,NA,"CraigJohnson","AdHominemEnterprises","No",94,2017-03-24,"2017","spring","No"
"CHIPS",18,"No",45,"R","No","action","comedy",NA,"DaxShepard","RatPac-DuneEntertainment,PanayFilms,PrimatePictures","Yes",101,2017-03-24,"2017","spring","Yes"
"Awakening The Zodiac",42,"No",33,"R","No","mysteryandthriller",NA,NA,"JonathanWright","Bunk11Pictures,TAJJMedia","No",100,2017-06-09,"2017","spring","No"
"Dirty Dancing",19,"No",16,"TVPG","No","drama","musical","romance","WayneBlair","LionsgateTelevision","No",138,2017-05-22,"2017","spring",""
"Rainbow Time",67,"Yes",48,"G","Yes","drama","comedy",NA,"LinasPhillips","LodgerFilms,DuplassBrothers,SubmarineEntertainment,TheOrchard","Yes",91,2016-11-01,"2016","autumn","No"
"Love At First Child (Ange Et Gabrielle)",57,"No",36,"G","Yes","comedy",NA,NA,"AnneGiafferi","BenoîtJaubert,MarcOlla","Yes",91,2017-07-12,"2017","summer",""
"Vincent N Roxxy",41,"No",66,"R","No","crime","drama","mysteryandthriller","GaryMichaelSchultz","UnifiedPictures,VerticalEntertainment","Yes",110,2017-06-02,"2017","spring","No"
"T2 Trainspotting",81,"Yes",78,"R","No","drama","comedy",NA,"DannyBoyle","CreativeScotland,DNAFilms,CloudEight,DecibelFilms","No",117,2017-03-17,"2017","winter","No"
"Correspondence (La Corrispondenza)",14,"No",36,"G","Yes","mysteryandthriller","romance","drama","GiuseppeTornatore","IsabellaCocuzza,ArturoPaglia","Yes",116,2017-06-27,"2017","summer",""
"The Zookeeper's Wife",63,"Yes",76,"PG-13","No","biography","history","drama","NikiCaro","ScionFilms,ElectricCityEntertainment","No",125,2017-03-31,"2017","spring","Yes"
"The Belko Experiment",53,"No",40,"R","No","horror","action","mysteryandthriller","GregMcLean","SafranCompany","No",90,2017-03-17,"2017","winter","Yes"
"The Autopsy Of Jane Doe",87,"Yes",70,"R","No","horror","mysteryandthriller",NA,"AndréØvredal","ImpostorPictures,42","No",86,2016-12-21,"2016","autumn","No"
"Railroad Tigers",38,"No",46,"G","Yes","adventure","action","comedy","ShengDing","SparkleRollMedia,BeijingGoingZoomMedia,ShanghaiFilmGroup",NA,124,2017-01-06,"2017","winter","No"
"Everybody Loves Somebody",89,"Yes",70,"PG-13","No","romance",NA,NA,"CatalinaAguilarMastretta","DracoFilms,RingCine","Yes",101,2017-02-17,"2017","winter","No"
"Legion Of Brothers",100,"Yes",66,"G","Yes","documentary",NA,NA,"GregBarker","PassionPictures",NA,79,2017-05-19,"2017","spring","No"
"Berlin Syndrome",75,"Yes",53,"R","No","mysteryandthriller",NA,NA,"CateShortland","DDPStudios,AquariusFilms,MementoFilms,FilmVictoria","No",116,2017-05-26,"2017","spring","No"
"This Beautiful Fantastic",61,"Yes",75,"PG","No","drama","comedy",NA,"SimonAboud","IpsoFactoProductions","Yes",92,2017-03-10,"2017","winter","No"
"2:22",22,"No",38,"PG-13","No","mysteryandthriller",NA,NA,"PaulCurrie","LightstreamEntertainment,ScreenAustralia,Pandemonium",NA,99,2017-06-30,"2017","summer","No"
"Drone",27,"No",25,"G","Yes","action","mysteryandthriller",NA,"JasonBourque","ScreenMediaVentures","No",91,2017-05-26,"2017","spring","No"
"Hearing Is Believing",60,"Yes",92,"G","Yes","music","documentary",NA,"LorenzoDeStefano","HearingisBelievingProductions",NA,104,2017-06-16,"2017","spring","No"
"Can't Stop, Won't Stop: A Bad Boy Story",44,"No",44,"G","Yes","music","documentary",NA,"DanielKaufman","LiveNationProductions",NA,80,2017-06-23,"2017","spring","No"
"The Killer Is Loose",60,"Yes",37,"G","Yes","mysteryandthriller",NA,NA,"BuddBoetticher","CrownProductions",NA,73,2016-09-01,"2016","summer","Yes"
"Three Sisters",100,"Yes",88,"G","Yes","",NA,NA,"BingWang",NA,NA,101,NA,NA,NA,""
"The Lego Batman Movie",90,"Yes",80,"PG","No","action","animation","comedy","ChrisMcKay","WarnerBros.Pictures,LinPictures,VertigoEntertainment","No",106,2017-02-10,"2017","winter","Yes"
"Beauty And The Beast",71,"Yes",80,"PG","No","fantasy","kidsandfamily","musical","BillCondon","WaltDisneyPictures,MandevilleFilms","No",129,2017-03-17,"2017","winter","Yes"
"No Stranger Than Love",7,"No",16,"R","No","fantasy","romance",NA,"NickWernham","InnisLakeEntertainment,PangaeaPictures","No",89,2016-06-17,"2016","spring","No"
"A Cure For Wellness",42,"No",41,"R","No","horror","mysteryandthriller","drama","GoreVerbinski","BlinkWink,NewRegency","No",140,2017-02-17,"2017","winter","Yes"
"Growing Up Smith (Good Ol' Boy)",73,"Yes",81,"PG-13","No","drama","comedy",NA,"FrankLotito","GoodDeedEntertainment","No",102,2017-02-03,"2017","winter","No"
"3 Generations",32,"No",44,"PG-13","No","drama","comedy",NA,"GabyDellal","BigBeach,InFilmProductions","No",94,2017-05-05,"2017","spring","No"
"Land Of Mine (Under Sandet)",92,"Yes",88,"R","No","history","drama","war","MartinZandvliet","NordiskFilm","Yes",100,2017-02-17,"2017","winter","No"
"Aftermath",42,"No",25,"R","No","mysteryandthriller","drama",NA,"ElliottLester","ProtozoaPictures,Emmett/FurlaFilms","No",92,2017-04-07,"2017","spring","No"
"Alone In Berlin",57,"No",50,"R","No","history","drama",NA,"VincentPerez","X-FilmeCreativePool,FilmWave","No",103,2017-01-13,"2017","winter","No"
"John Wick: Chapter 2",89,"Yes",85,"R","No","action","mysteryandthriller",NA,"ChadStahelski","87eleven,ThunderRoadPictures","No",122,2017-02-10,"2017","winter","Yes"
"Life",67,"Yes",54,"R","No","scifi","mysteryandthriller","horror","DanielEspinosa","SkydanceProductions","No",103,2017-03-24,"2017","spring","Yes"
"The Ticket",51,"No",30,"G","Yes","drama",NA,NA,"IdoFluk","BCDFPictures,Shout!Factory,InitiateProductions","No",98,2017-04-07,"2017","spring","No"
"Table 19",25,"No",40,"PG-13","No","drama","comedy",NA,"JeffreyBlitz","3311Productions,21LapsEntertainment","Yes",87,2017-03-03,"2017","winter","Yes"
"A United Kingdom",84,"Yes",76,"PG-13","No","biography","history","drama","AmmaAsante","HarbingerPictures,PerfectWeekend,Pathé","No",111,2017-02-10,"2017","winter","No"
"The Sense Of An Ending",75,"Yes",51,"PG-13","No","drama",NA,NA,"RiteshBatra","OriginPictures","No",108,2017-03-10,"2017","winter","No"
"Mine",17,"No",45,"G","Yes","mysteryandthriller","war",NA,"FabioGuaglione,FabioResinaro","MineCanarias,SafranCompany,SunFilm,Roxbury","Yes",107,2017-04-07,"2017","spring","No"
"The Assignment",33,"No",21,"R","No","action","mysteryandthriller",NA,"WalterHill","SBSFilms","No",96,2017-04-07,"2017","spring","No"
"Operation Mekong",80,"Yes",60,"G","Yes","adventure","action",NA,"DanteLam","BonaFilmGroup",NA,124,2016-09-30,"2016","autumn","No"
"Headshot",73,"Yes",57,"G","Yes","action","sportsandfitness",NA,"TimoTjahjanto,KimoStamboel","ShinjiroNishimura,WickyV.Olindo,MikeWiluan","No",118,2017-03-03,"2017","winter","No"
"Voice From The Stone",38,"No",33,"R","No","horror","mysteryandthriller",NA,"EricD.Howell","ZanuckIndependent,ProducerCapitalFund,Code39Films","No",94,2017-04-28,"2017","spring","No"
"All Nighter",14,"No",35,"R","No","comedy",NA,NA,"GavinWiesen","GoodDeedEntertainment","No",86,2017-03-17,"2017","winter","No"
"Bitter Harvest",15,"No",67,"R","No","history","drama","war","GeorgeMendeluk","RoadsideAttractions","No",103,2017-02-24,"2017","winter","No"
"The Last Word",40,"No",64,"R","No","drama","comedy",NA,"MarkPellington","MyriadPictures,ParksidePictures","No",108,2017-03-03,"2017","winter","No"
"Un Padre No Tan Padre",75,"Yes",86,"PG-13","No","comedy",NA,NA,"RaúlMartínez","PanoramaGlobal","No",94,2017-01-27,"2017","winter","No"
"Enter The Warriors Gate (Warrior's Gate)",50,"No",43,"PG-13","No","fantasy","action","sportsandfitness","MatthiasHoene","LucBesson,MarkGao","No",108,2017-05-05,"2017","spring","No"
"Journey To The West: The Demons Strike Back",58,"No",49,"PG-13","No","fantasy","adventure","action","HarkTsui","StarOverseas","No",109,2017-02-03,"2017","winter","No"
"Be Afraid",17,"No",30,"G","Yes","scifi","mysteryandthriller",NA,"DrewGabreski","DarkShed,QuestPacifica","No",99,2017-06-04,"2017","spring",""
"Shimmer Lake",60,"Yes",58,"TVMA","No","crime","mysteryandthriller","comedy","OrenUziel","AdamSaunders,BrittonRizzio","Yes",87,2017-06-09,"2017","spring",""
"Oh, Hello On Broadway",88,"Yes",81,"G","Yes","",NA,NA,"MichaelJohnWarren",NA,NA,101,NA,NA,NA,""
"Willard",57,"No",38,"PG","No","horror",NA,NA,"DanielMann","BingCrosbyProductions",NA,95,2017-05-16,"2017","spring",""
"Tough Guys",57,"No",55,"PG","No","comedy",NA,NA,"JeffKanew","TouchstonePictures",NA,103,2016-03-22,"2016","spring",""
"Ben",67,"Yes",39,"PG","No","mysteryandthriller",NA,NA,"PhilKarlson","BingCrosbyProductions",NA,93,2017-05-16,"2017","spring",""
"XXx: Return Of Xander Cage",45,"No",37,"PG-13","No","adventure","action","mysteryandthriller","D.J.Caruso","RKFilms,ParamountPicturesInternational,OneRaceFilms","No",102,2017-01-20,"2017","winter","Yes"
"Resident Evil: The Final Chapter",37,"No",48,"R","No","horror","action",NA,"PaulW.S.Anderson","ConstantinFilm","Yes",102,2017-01-27,"2017","winter","Yes"
"Logan",93,"Yes",90,"R","No","adventure","action","fantasy","JamesMangold","MarvelEntertainment,20thCenturyFox,HutchParkerEntertainment,Donners'Company","No",137,2017-03-03,"2017","winter","Yes"
"Collide",23,"No",34,"PG-13","No","action","mysteryandthriller",NA,"EranCreevy","SilverPictures,Hands-onProducers,42,DMGEntertainment,AutomatikEntertainment,IMGlobalFilmFund","No",94,2017-02-24,"2017","winter","Yes"
"Welcome To Happiness",31,"No",57,"PG-13","No","fantasy","drama","comedy","OliverThompson","MinutehandPictures","Yes",108,2016-06-01,"2016","spring",""
"Dheepan",87,"Yes",82,"R","No","drama",NA,NA,"JacquesAudiard","WhyNotProductions,France2Cinema,Page114","No",110,2016-05-06,"2016","spring","No"
"War Machine",48,"No",34,"TVMA","No","war","comedy",NA,"DavidMichôd","Netflix,RatpacEntertainment,PlanBEntertainment","Yes",122,2017-06-03,"2017","spring",""
"The Shack",21,"No",77,"PG-13","No","drama",NA,NA,"StuartHazeldine","GilNetter,WindblownMedia","No",132,2017-03-03,"2017","winter","Yes"
"The Commune (Kollektivet)",71,"Yes",60,"G","Yes","drama",NA,NA,"ThomasVinterberg","ZentropaEntertainments","No",112,2017-05-19,"2017","spring","No"
"The Blackcoat's Daughter (February)",72,"Yes",49,"R","No","horror","mysteryandthriller",NA,"OzPerkins","ZedFilmworks,120dBFilms","Yes",93,2017-03-28,"2017","spring","No"
"The Space Between Us",16,"No",54,"PG-13","No","adventure","romance",NA,"PeterChelsom","SouthpawEntertainment,LosAngelesMediaFund,HuayiBrothers","No",122,2017-02-03,"2017","winter","Yes"
"Fist Fight",24,"No",40,"R","No","comedy",NA,NA,"RichieKeen","VillageRoadshowPictures,NewLineCinema,WrigleyPictures,21LapsEntertainment","No",91,2017-02-17,"2017","winter","Yes"
"The Great Wall",36,"No",42,"PG-13","No","action","adventure","fantasy","YimouZhang","LegendaryPictures,UniversalPictures,AtlasEntertainment","No",104,2017-02-17,"2017","winter","Yes"
"Between Us",50,"No",34,"G","Yes","drama","comedy","romance","RafaelPalacioIllingworth","CaviarFilms,IFCFilms","Yes",93,2017-01-06,"2017","winter","No"
"Bad Rap",70,"Yes",77,"G","Yes","documentary",NA,NA,"SalimaKoroma","JaekiCho,SalimaKoroma",NA,82,2017-05-25,"2017","spring",""
"AWOL",93,"Yes",57,"G","Yes","drama","romance",NA,"DebShoval","JessicaCaldwell,MichelMerkt,L.A.Teodosio","No",85,2017-05-23,"2017","spring",""
"My Life As A Zucchini (Ma Vie De Courgette)",99,"Yes",89,"PG-13","No","animation","drama","comedy","ClaudeBarras","RitaProductions,KNM,BlueSpiritAnimation","No",66,2017-02-24,"2017","winter","No"
"Before I Fall",65,"Yes",56,"PG-13","No","drama","mysteryandthriller",NA,"RyRusso-Young","JonShestack","No",100,2017-03-03,"2017","winter","Yes"
"Rock Dog",47,"No",47,"PG","No","music","animation","comedy","AshBrannon","EracmeEntertainment,HuayiBrothersMediaCorp.,HuayiTencentEntertainmentCompany,MandooPictures,DreamFactoryGroup","No",90,2017-02-24,"2017","winter","Yes"
"Get Out",98,"Yes",86,"R","No","horror","mysteryandthriller","comedy","JordanPeele","UniversalPictures,QCEntertainment,BlumhouseProductions","Yes",104,2017-02-24,"2017","winter","Yes"
"Mommy Dead And Dearest",100,"Yes",87,"G","Yes","documentary",NA,NA,"ErinLeeCarr","HBODocumentaryFilms",NA,82,2018-08-25,"2018","summer",""
"XX",70,"Yes",19,"R","No","horror",NA,NA,"JovankaVuckovic,St.Vincent,RoxanneBenjamin,KarynKusama","MagnoliaPictures,XYZFilms,SnowfortPictures,DarkSkyFilms","Yes",81,2017-02-17,"2017","winter","No"
"Tracy Morgan: Staying Alive",83,"Yes",72,"G","Yes","",NA,NA,NA,NA,NA,101,NA,NA,NA,""
"I Am Heath Ledger",86,"Yes",84,"G","Yes","documentary",NA,NA,"DerikMurray,AdrianBuitenhuls","NetworkEntertainment",NA,90,2017-05-25,"2017","spring",""
"96 Souls",0,"No",95,"G","Yes","scifi","drama","mysteryandthriller","StanleyJacobs","StanleyJacobs","Yes",112,2017-05-26,"2017","spring","No"
"Hasan Minhaj: Homecoming King",78,"Yes",86,"G","Yes","",NA,NA,"ChristopherStorer",NA,NA,101,NA,NA,NA,""
"Sarah Silverman: A Speck Of Dust",100,"Yes",49,"G","Yes","",NA,NA,"LiamLynch",NA,NA,101,NA,NA,NA,""
"Rings",8,"No",23,"PG-13","No","horror","mysteryandthriller",NA,"F.JavierGutiérrez","WaddieishClaretrap,Parkes/MacDonald,VertigoEntertainment,Benderspink,ParamountPicturesInternational","No",97,2017-02-03,"2017","winter","Yes"
"A Fantastic Fear Of Everything",34,"No",35,"R","No","comedy",NA,NA,"CrispianMills,ChrisHopewell","PinewoodStudios","No",99,2014-02-07,"2014","winter","No"
"Black Rose",22,"No",15,"G","Yes","action","mysteryandthriller",NA,"AlexanderNevsky",NA,"No",83,2017-04-28,"2017","spring","No"
"Fifty Shades Darker",11,"No",48,"R","No","drama","romance",NA,"JamesFoley","MichaelDeLuca,PerfectWorldPictures","No",118,2017-02-10,"2017","winter","Yes"
"La La Land",91,"Yes",81,"PG-13","No","drama","musical","comedy","DamienChazelle","SummitEntertainment,MarcPlattProductions,GilbertFilms","Yes",128,2016-12-25,"2016","winter","Yes"
