"Title","Tomatometer","Fresh","Audience.score","Rating","Parental.Control","Genre1","Genre2","Genre3","Director","Production","DirectorIsWriter","Runtime","Release.Date","Release.Year","Release.Season","Release.isWide"
"Hara-Kiri: Death Of A Samurai",76,"Yes",75,"G","Yes","history","drama",NA,"TakashiMiike","OrientalLightandMagic,RecordedPictureCompany(RPC),Kôdansha,Dentsu","No",126,2012-07-20,"2012","summer","No"
"The Paperboy",45,"No",33,"R","No","crime","drama",NA,"LeeDaniels","NuImage,LeeDanielsEntertainment","No",107,2012-10-05,"2012","autumn","No"
"Fat Kid Rules The World",84,"Yes",61,"R","No","comedy",NA,NA,"MatthewLillard","NickMorton,MatthewLillard,JaneCharles,JenniferMaas,EvanWasserstrom,TalanTorriero","No",94,2013-01-22,"2013","winter",""
"The Awakening",62,"Yes",51,"TVPG","No","romance",NA,NA,"GeorgeBloomfield","NormanDenver",NA,97,2017-07-19,"2017","summer",""
"Keep The Lights On",89,"Yes",63,"G","Yes","drama",NA,NA,"IraSachs","LucasJoaquin,MarieThereseGuirgis","No",103,2012-09-07,"2012","summer","No"
"Diana Vreeland: The Eye Has To Travel",94,"Yes",79,"PG-13","No","biography","documentary",NA,"LisaImmordinoVreeland","GlossStudio","No",77,2012-09-21,"2012","summer","No"
"The Imposter",95,"Yes",78,"R","No","documentary",NA,NA,"BartLayton","A&EIndieFilms,24SevenProductions,Film4",NA,95,2012-07-13,"2012","summer","No"
"Nobody Walks",41,"No",23,"R","No","drama",NA,NA,"RyRusso-Young","SuperCrispyEntertainment","No",83,2012-10-19,"2012","autumn","No"
"Paranormal Activity 4",23,"No",34,"R","No","horror","mysteryandthriller",NA,"HenryJoost,ArielSchulman","Blumhouse,Room101Inc.,SolanaFilms","No",87,2012-10-18,"2012","autumn","Yes"
"Hello I Must Be Going",75,"Yes",55,"R","No","drama","comedy",NA,"ToddLouiso","NextWednesdayProductions","No",94,2012-09-07,"2012","summer","No"
"Searching For Sugar Man",95,"Yes",92,"PG-13","No","documentary",NA,NA,"MalikBendjelloul","RedBoxFilms,PassionPictures",NA,86,2012-07-27,"2012","summer","No"
"Big Boys Gone Bananas!*",78,"Yes",80,"G","Yes","biography","drama","documentary","FredrikGertten","SvenskaFilminstitutet,Klassefilm,WGFilm,FilmiSkåne,Yleisradio,SverigesTelevision,MEDIAProgrammeoftheEuropeanUnion",NA,90,2016-08-10,"2016","summer",""
